미션,품명,가격,이미지url
카레 만들기,카레가루,3500,https://placehold.co/600x400/png?text=Curry+Powder
카레 만들기,감자,2500,https://placehold.co/600x400/png?text=Potatoes
카레 만들기,당근,1800,https://placehold.co/600x400/png?text=Carrots
카레 만들기,양파,2000,https://placehold.co/600x400/png?text=Onions
카레 만들기,돼지고기,6500,https://placehold.co/600x400/png?text=Pork
카레 만들기,닭가슴살,5800,https://placehold.co/600x400/png?text=Chicken
카레 만들기,소고기,8500,https://placehold.co/600x400/png?text=Beef
카레 만들기,즉석밥,1800,https://placehold.co/600x400/png?text=Instant+Rice
카레 만들기,쌀,5000,https://placehold.co/600x400/png?text=Rice
카레 만들기,우유,2600,https://placehold.co/600x400/png?text=Milk
카레 만들기,식용유,3600,https://placehold.co/600x400/png?text=Cooking+Oil
카레 만들기,단무지,2500,https://placehold.co/600x400/png?text=Pickled+Radish
카레 만들기,브로콜리,2800,https://placehold.co/600x400/png?text=Broccoli
카레 만들기,버섯,2200,https://placehold.co/600x400/png?text=Mushrooms
카레 만들기,피망,1800,https://placehold.co/600x400/png?text=Green+Pepper
카레 만들기,사과,3000,https://placehold.co/600x400/png?text=Apples
카레 만들기,바나나,3500,https://placehold.co/600x400/png?text=Bananas
카레 만들기,생수,1000,https://placehold.co/600x400/png?text=Water
카레 만들기,앞치마,4000,https://placehold.co/600x400/png?text=Apron
카레 만들기,일회용 장갑,1200,https://placehold.co/600x400/png?text=Gloves
여름캠핑 준비하기,생수 묶음,6000,https://placehold.co/600x400/png?text=Water+Pack
여름캠핑 준비하기,얼음,2500,https://placehold.co/600x400/png?text=Ice
여름캠핑 준비하기,돗자리,9000,https://placehold.co/600x400/png?text=Picnic+Mat
여름캠핑 준비하기,모기퇴치 스프레이,7000,https://placehold.co/600x400/png?text=Bug+Spray
여름캠핑 준비하기,손전등,10000,https://placehold.co/600x400/png?text=Flashlight
여름캠핑 준비하기,건전지,4000,https://placehold.co/600x400/png?text=Batteries
여름캠핑 준비하기,즉석밥,4500,https://placehold.co/600x400/png?text=Instant+Rice
여름캠핑 준비하기,컵라면,5000,https://placehold.co/600x400/png?text=Cup+Noodles
여름캠핑 준비하기,마시멜로,3500,https://placehold.co/600x400/png?text=Marshmallows
여름캠핑 준비하기,꼬치막대,2000,https://placehold.co/600x400/png?text=Skewers
여름캠핑 준비하기,종이컵,2500,https://placehold.co/600x400/png?text=Paper+Cups
여름캠핑 준비하기,종이접시,2800,https://placehold.co/600x400/png?text=Paper+Plates
여름캠핑 준비하기,휴지,3200,https://placehold.co/600x400/png?text=Tissues
여름캠핑 준비하기,물티슈,3000,https://placehold.co/600x400/png?text=Wet+Wipes
여름캠핑 준비하기,썬크림,12000,https://placehold.co/600x400/png?text=Sunscreen
여름캠핑 준비하기,모자,8000,https://placehold.co/600x400/png?text=Hat
여름캠핑 준비하기,수건,6000,https://placehold.co/600x400/png?text=Towel
여름캠핑 준비하기,구급밴드,3500,https://placehold.co/600x400/png?text=Bandages
여름캠핑 준비하기,보냉백,15000,https://placehold.co/600x400/png?text=Cooler+Bag
여름캠핑 준비하기,손소독제,2500,https://placehold.co/600x400/png?text=Sanitizer
친구 생일파티 준비하기,생일케이크,18000,https://placehold.co/600x400/png?text=Birthday+Cake
친구 생일파티 준비하기,풍선 세트,5000,https://placehold.co/600x400/png?text=Balloons
친구 생일파티 준비하기,생일초,1500,https://placehold.co/600x400/png?text=Candles
친구 생일파티 준비하기,종이접시,2500,https://placehold.co/600x400/png?text=Paper+Plates
친구 생일파티 준비하기,종이컵,2000,https://placehold.co/600x400/png?text=Paper+Cups
친구 생일파티 준비하기,포크,1800,https://placehold.co/600x400/png?text=Forks
친구 생일파티 준비하기,과자모음,7000,https://placehold.co/600x400/png?text=Snacks
친구 생일파티 준비하기,과일컵,6000,https://placehold.co/600x400/png?text=Fruit+Cups
친구 생일파티 준비하기,주스,4500,https://placehold.co/600x400/png?text=Juice
친구 생일파티 준비하기,피자,16000,https://placehold.co/600x400/png?text=Pizza
친구 생일파티 준비하기,떡볶이,9000,https://placehold.co/600x400/png?text=Tteokbokki
친구 생일파티 준비하기,치킨너겟,8000,https://placehold.co/600x400/png?text=Chicken+Nuggets
친구 생일파티 준비하기,선물포장지,2500,https://placehold.co/600x400/png?text=Gift+Wrap
친구 생일파티 준비하기,리본,1500,https://placehold.co/600x400/png?text=Ribbon
친구 생일파티 준비하기,생일카드,2000,https://placehold.co/600x400/png?text=Birthday+Card
친구 생일파티 준비하기,파티모자,4000,https://placehold.co/600x400/png?text=Party+Hats
친구 생일파티 준비하기,사진소품,5500,https://placehold.co/600x400/png?text=Photo+Props
친구 생일파티 준비하기,음악스피커 대여권,10000,https://placehold.co/600x400/png?text=Speaker+Rental
친구 생일파티 준비하기,초콜릿,3500,https://placehold.co/600x400/png?text=Chocolate
친구 생일파티 준비하기,사탕,3000,https://placehold.co/600x400/png?text=Candy
